ID_ESTUDIO,CVE_ACUIF,ACUIFERO,NOM_ACUIF,CVE_EDO,NOM_EDO,ESTADO,
8340,2414,2414 CERRITOS-VILLA JUÁREZ,CERRITOS-VILLA JUÁREZ,24,SAN LUIS POTOSÍ,24 SAN LUIS POTOSÍ,
8340,2415,2415 RÍO VERDE,RÍO VERDE,24,SAN LUIS POTOSÍ,24 SAN LUIS POTOSÍ,
8340,2416,2416 SAN NICOLÁS TOLENTINO,SAN NICOLÁS TOLENTINO,24,SAN LUIS POTOSÍ,24 SAN LUIS POTOSÍ,
8340,2417,2417 SANTA MARÍA DEL RÍO,SANTA MARÍA DEL RÍO,24,SAN LUIS POTOSÍ,24 SAN LUIS POTOSÍ,
8340,2418,2418 HUASTECA POTOSINA,HUASTECA POTOSINA,24,SAN LUIS POTOSÍ,24 SAN LUIS POTOSÍ,
8340,2419,2419 TAMUÍN,TAMUÍN,24,SAN LUIS POTOSÍ,24 SAN LUIS POTOSÍ,
8341,2411,2411 SAN LUIS POTOSÍ,SAN LUIS POTOSÍ,24,SAN LUIS POTOSÍ,24 SAN LUIS POTOSÍ,
8342,0801,0801 ASCENSIÓN,ASCENSIÓN,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0802,0802 ALTA BABÍCORA,ALTA BABÍCORA,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0803,0803 BAJA BABÍCORA,BAJA BABÍCORA,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0804,0804 BUENAVENTURA,BUENAVENTURA,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0805,0805 CUAUHTÉMOC,CUAUHTÉMOC,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0806,0806 CASAS GRANDES,CASAS GRANDES,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0807,0807 EL SAUZ-ENCINILLAS,EL SAUZ-ENCINILLAS,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0808,0808 JANOS,JANOS,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0809,0809 LAGUNA DE MEXICANOS,LAGUNA DE MEXICANOS,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0810,0810 SAMALAYUCA,SAMALAYUCA,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0811,0811 LAS PALMAS,LAS PALMAS,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0812,0812 PALOMAS-GUADALUPE VICTORIA,PALOMAS-GUADALUPE VICTORIA,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0813,0813 LAGUNA TRES CASTILLOS,LAGUNA TRES CASTILLOS,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0814,0814 LAGUNA DE TARABILLAS,LAGUNA DE TARABILLAS,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0815,0815 LAGUNA EL DIABLO,LAGUNA EL DIABLO,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0816,0816 ALDAMA-EL CUERVO,ALDAMA-EL CUERVO,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0817,0817 LAGUNA DE PATOS,LAGUNA DE PATOS,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0818,0818 LAGUNA DE SANTA MARÍA,LAGUNA DE SANTA MARÍA,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0819,0819 LAGUNA LA VIEJA,LAGUNA LA VIEJA,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0820,0820 IGNACIO ZARAGOZA,IGNACIO ZARAGOZA,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0821,0821 FLORES MAGÓN-VILLA AHUMADA,FLORES MAGÓN-VILLA AHUMADA,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0822,0822 SANTA CLARA,SANTA CLARA,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0823,0823 CONEJOS-MÉDANOS,CONEJOS-MÉDANOS,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0824,0824 LAGUNA DE HORMIGAS,LAGUNA DE HORMIGAS,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0825,0825 EL SABINAL,EL SABINAL,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0826,0826 LOS LAMENTOS,LOS LAMENTOS,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0827,0827 EL CUARENTA,EL CUARENTA,08,CHIHUAHUA,08 CHIHUAHUA,
8342,0828,0828 LOS MOSCOS,LOS MOSCOS,08,CHIHUAHUA,08 CHIHUAHUA,
